flyFrom,flyTo,price,cityFrom,cityTo,countryFrom,countryTo,distance,duration,local_departure,category
TIA,BIO,291,Tirana,Bilbao,Albania,Spain,1867.61,96300,2023-02-28 20:55:00,Cultural
TIA,BIO,304,Tirana,Bilbao,Albania,Spain,1867.61,128700,2023-02-28 20:55:00,Cultural
TIA,BIO,306,Tirana,Bilbao,Albania,Spain,1867.61,77100,2023-02-28 19:00:00,Cultural
TIA,BIO,308,Tirana,Bilbao,Albania,Spain,1867.61,54600,2023-02-28 20:55:00,Cultural
TIA,BIO,324,Tirana,Bilbao,Albania,Spain,1867.61,102000,2023-02-28 19:00:00,Cultural
TIA,BIO,350,Tirana,Bilbao,Albania,Spain,1867.61,78600,2023-02-28 16:00:00,Cultural
TIA,BIO,351,Tirana,Bilbao,Albania,Spain,1867.61,170100,2023-02-28 19:00:00,Cultural
TIA,BIO,357,Tirana,Bilbao,Albania,Spain,1867.61,83400,2023-02-28 19:00:00,Cultural
TIA,BIO,366,Tirana,Bilbao,Albania,Spain,1867.61,78600,2023-02-28 16:00:00,Cultural
TIA,BIO,458,Tirana,Bilbao,Albania,Spain,1867.61,63000,2023-02-28 15:45:00,Cultural
TIA,BIO,466,Tirana,Bilbao,Albania,Spain,1867.61,72300,2023-02-28 16:00:00,Cultural
TIA,BIO,472,Tirana,Bilbao,Albania,Spain,1867.61,82800,2023-02-28 19:00:00,Cultural
TIA,BIO,481,Tirana,Bilbao,Albania,Spain,1867.61,62100,2023-02-28 16:00:00,Cultural
TIA,BIO,486,Tirana,Bilbao,Albania,Spain,1867.61,76500,2023-02-28 14:50:00,Cultural
TIA,BIO,492,Tirana,Bilbao,Albania,Spain,1867.61,28800,2023-02-28 16:00:00,Cultural
TIA,BIO,493,Tirana,Bilbao,Albania,Spain,1867.61,81000,2023-02-28 13:20:00,Cultural
TIA,BIO,496,Tirana,Bilbao,Albania,Spain,1867.61,60000,2023-02-28 16:00:00,Cultural
TIA,BIO,501,Tirana,Bilbao,Albania,Spain,1867.61,72300,2023-02-28 16:00:00,Cultural
TIA,BIO,511,Tirana,Bilbao,Albania,Spain,1867.61,98100,2023-02-28 14:50:00,Cultural
TIA,BIO,537,Tirana,Bilbao,Albania,Spain,1867.61,67800,2023-02-28 19:00:00,Cultural
TIA,BIO,552,Tirana,Bilbao,Albania,Spain,1867.61,33300,2023-02-28 14:50:00,Cultural
TIA,BIO,563,Tirana,Bilbao,Albania,Spain,1867.61,29100,2023-02-28 16:00:00,Cultural
TIA,BIO,585,Tirana,Bilbao,Albania,Spain,1867.61,28800,2023-02-28 16:00:00,Cultural
TIA,BIO,725,Tirana,Bilbao,Albania,Spain,1867.61,32700,2023-02-28 14:40:00,Cultural
TIA,BIO,728,Tirana,Bilbao,Albania,Spain,1867.61,83100,2023-02-28 19:00:00,Cultural
TIA,BIO,733,Tirana,Bilbao,Albania,Spain,1867.61,28800,2023-02-28 16:00:00,Cultural
TIA,BIO,783,Tirana,Bilbao,Albania,Spain,1867.61,83100,2023-02-28 19:00:00,Cultural
TIA,BIO,814,Tirana,Bilbao,Albania,Spain,1867.61,32100,2023-02-28 14:50:00,Cultural
TIA,BIO,835,Tirana,Bilbao,Albania,Spain,1867.61,80400,2023-02-28 19:00:00,Cultural
TIA,BIO,848,Tirana,Bilbao,Albania,Spain,1867.61,32700,2023-02-28 14:40:00,Cultural
TIA,BIO,1079,Tirana,Bilbao,Albania,Spain,1867.61,32100,2023-02-28 14:50:00,Cultural
TIA,BCN,175,Tirana,Barcelona,Albania,Spain,1471.65,99300,2023-02-28 20:55:00,Cultural
TIA,BCN,185,Tirana,Barcelona,Albania,Spain,1471.65,42600,2023-02-28 12:20:00,Cultural
TIA,BCN,189,Tirana,Barcelona,Albania,Spain,1471.65,108900,2023-02-28 17:15:00,Cultural
TIA,BCN,211,Tirana,Barcelona,Albania,Spain,1471.65,98700,2023-02-28 17:15:00,Cultural
TIA,BCN,241,Tirana,Barcelona,Albania,Spain,1471.65,60900,2023-02-28 19:00:00,Cultural
TIA,BCN,244,Tirana,Barcelona,Albania,Spain,1471.65,98100,2023-02-28 20:55:00,Cultural
TIA,BCN,247,Tirana,Barcelona,Albania,Spain,1471.65,76200,2023-02-28 20:55:00,Cultural
TIA,BCN,265,Tirana,Barcelona,Albania,Spain,1471.65,69900,2023-02-28 20:55:00,Cultural
TIA,BCN,272,Tirana,Barcelona,Albania,Spain,1471.65,58800,2023-02-28 20:55:00,Cultural
TIA,BCN,275,Tirana,Barcelona,Albania,Spain,1471.65,55500,2023-02-28 20:55:00,Cultural
